date,bitcoin,overlap
2020-01-01,3.0,
2020-01-02,4.0,
2020-01-03,4.0,
2020-01-04,4.0,
2020-01-05,4.0,
2020-01-06,4.0,
2020-01-07,6.0,
2020-01-08,6.0,
2020-01-09,5.0,1
2020-01-10,5.0,1
2020-01-11,4.0,1
2020-01-12,4.0,1
2020-01-13,4.0,1
2020-01-14,6.0,1
2020-01-15,5.0,1
2020-01-16,5.0,1
2020-01-17,5.0,1
2020-01-18,5.0,1
2020-01-19,5.0,1
2020-01-20,5.0,1
2020-01-21,4.0,1
2020-01-22,4.0,1
2020-01-23,4.0,1
2020-01-24,4.0,1
2020-01-25,3.0,1
2020-01-26,3.0,1
2020-01-27,4.0,1
2020-01-28,5.0,1
2020-01-29,5.0,1
2020-01-30,5.0,1
2020-01-31,5.0,1
2020-02-01,4.0,1
2020-02-02,4.0,1
2020-02-03,4.0,1
2020-02-04,4.0,1
2020-02-05,5.0,1
2020-02-06,5.0,1
2020-02-07,5.0,1
2020-02-08,5.0,1
2020-02-09,6.0,1
2020-02-10,5.0,1
2020-02-11,6.0,1
2020-02-12,7.0,1
2020-02-13,6.0,1
2020-02-14,5.0,1
2020-02-15,5.0,1
2020-02-16,5.0,1
2020-02-17,5.0,1
2020-02-18,5.0,1
2020-02-19,5.0,1
2020-02-20,5.0,1
2020-02-21,5.0,1
2020-02-22,4.0,1
2020-02-23,4.0,1
2020-02-24,5.0,1
2020-02-25,5.0,1
2020-02-26,6.0,1
2020-02-27,5.0,1
2020-02-28,6.0,1
2020-02-29,5.0,1
2020-03-01,4.0,1
2020-03-02,5.0,1
2020-03-03,5.0,1
2020-03-04,5.0,1
2020-03-05,5.0,1
2020-03-06,5.0,1
2020-03-07,4.0,1
2020-03-08,5.0,1
2020-03-09,8.0,1
2020-03-10,6.0,1
2020-03-11,5.0,1
2020-03-12,12.0,1
2020-03-13,15.0,1
2020-03-14,10.0,1
2020-03-15,8.0,1
2020-03-16,11.0,1
2020-03-17,9.0,1
2020-03-18,8.0,1
2020-03-19,9.0,1
2020-03-20,10.0,1
2020-03-21,8.0,1
2020-03-22,7.0,1
2020-03-23,7.0,1
2020-03-24,7.0,1
2020-03-25,6.0,1
2020-03-26,6.0,1
2020-03-27,6.0,1
2020-03-28,6.0,1
2020-03-29,6.0,1
2020-03-30,6.0,1
2020-03-31,5.0,1
2020-04-01,5.0,1
2020-04-02,6.0,1
2020-04-03,6.0,1
2020-04-04,5.0,1
2020-04-05,5.0,1
2020-04-06,6.0,1
2020-04-07,6.0,1
2020-04-08,6.0,1
2020-04-09,5.0,1
2020-04-10,6.0,1
2020-04-11,5.0,1
2020-04-12,5.0,1
2020-04-13,6.0,1
2020-04-14,6.0,1
2020-04-15,5.0,1
2020-04-16,6.0,1
2020-04-17,5.0,1
2020-04-18,5.0,1
2020-04-19,5.0,
2020-04-20,5.0,
2020-04-21,5.0,
2020-04-22,5.0,
2020-04-23,6.0,
2020-04-24,6.0,
2020-04-25,6.0,
2020-04-26,6.0,
2020-04-27,6.0,
2020-04-28,5.0,
2020-04-29,8.0,
2020-04-30,10.0,
2020-05-01,8.0,
2020-05-02,7.0,
2020-05-03,7.0,
2020-05-04,7.0,
2020-05-05,6.0,
2020-05-06,8.0,
2020-05-07,9.0,
2020-05-08,10.0,
2020-05-09,9.0,
2020-05-10,11.0,
2020-05-11,13.0,
2020-05-12,11.0,
2020-05-13,8.0,
2020-05-14,8.0,
2020-05-15,7.0,
2020-05-16,7.0,
2020-05-17,7.0,
2020-05-18,7.0,
2020-05-19,6.0,
2020-05-20,7.0,
2020-05-21,7.0,
2020-05-22,6.0,
2020-05-23,6.0,
2020-05-24,5.0,
2020-05-25,6.0,
2020-05-26,6.0,
2020-05-27,6.0,
2020-05-28,6.0,
2020-05-29,5.0,
2020-05-30,5.0,
2020-05-31,5.0,
2020-06-01,5.0,
2020-06-02,7.0,
2020-06-03,6.0,
2020-06-04,5.0,
2020-06-05,5.0,
2020-06-06,5.0,
2020-06-07,5.0,
2020-06-08,5.0,
2020-06-09,5.0,
2020-06-10,5.0,
2020-06-11,6.0,
2020-06-12,5.0,
2020-06-13,4.0,
2020-06-14,4.0,
2020-06-15,5.0,
2020-06-16,5.0,
2020-06-17,4.0,
2020-06-18,5.0,
2020-06-19,5.0,
2020-06-20,4.0,
2020-06-21,4.0,
2020-06-22,5.0,
2020-06-23,5.0,
2020-06-24,5.0,
2020-06-25,5.0,
2020-06-26,4.0,1
2020-06-27,4.0,1
2020-06-28,4.0,1
2020-06-29,4.0,1
2020-06-30,4.0,1
2020-07-01,5.0,1
2020-07-02,4.0,1
2020-07-03,4.0,1
2020-07-04,4.0,1
2020-07-05,4.0,1
2020-07-06,4.0,1
2020-07-07,4.0,1
2020-07-08,5.0,1
2020-07-09,4.0,1
2020-07-10,4.0,1
2020-07-11,4.0,1
2020-07-12,4.0,1
2020-07-13,4.0,1
2020-07-14,5.0,1
2020-07-15,5.0,1
2020-07-16,6.0,1
2020-07-17,4.0,1
2020-07-18,7.0,1
2020-07-19,4.0,1
2020-07-20,4.0,1
2020-07-21,4.0,1
2020-07-22,4.0,1
2020-07-23,5.0,1
2020-07-24,4.0,1
2020-07-25,5.0,1
2020-07-26,6.0,1
2020-07-27,8.0,1
2020-07-28,9.0,1
2020-07-29,8.0,1
2020-07-30,6.0,1
2020-07-31,7.0,1
2020-08-01,8.0,1
2020-08-02,8.0,1
2020-08-03,7.0,1
2020-08-04,6.0,1
2020-08-05,6.0,1
2020-08-06,7.0,1
2020-08-07,6.0,1
